#,Spacecraft,Spacewalkers,Start (UTC),End (UTC),Duration
,,Prepared Poisk Mini-Research Module 2 for future dockings.[164],,,
327,"STS-130
EVA 1","  Robert L. Behnken
  Nicholas Patrick","February 12, 2010
02:17","February 12, 2010
08:49","6 hours, 32 minutes"
,,Removed a protective cover on a port on the Unity node where Tranquility was berthed half way through the spacewalk. Transferred a spare parts platform for the Special Purpose Dexterous Manipulator from the shuttle to the station. Made several connections on the newly installed Tranquility node to begin its activation.,,,
328,"STS-130
EVA 2","  Robert L. Behnken
  Nicholas Patrick","February 14, 2010
02:20","February 14, 2010
08:14","5 hours, 54 minutes"
,,"Installed ammonia plumbing and connectors between Unity, Destiny and Tranquility and covered them with thermal insulation. Prepared the nadir port on Tranquility for the relocation of the Cupola, and installed handrails on the exterior of Tranquility.",,,
329,"STS-130
EVA 3","  Robert L. Behnken
  Nicholas Patrick","February 17, 2010
02:15","February 17, 2010
08:03","5 hours, 48 minutes"
,,"Installed additional ammonia plumbing between Unity and Tranquility, removed insulation and launch locks from the Cupola, installed additional handrails on the exterior ofTranquility and performed get-ahead tasks to support the installation of a PDGF on the exterior of Zarya with cable installation on Unity and the S0 truss.",,,
330,"STS-131
EVA 1","  Richard Mastracchio
  Clayton Anderson","April 9, 2010
05:31","April 9, 2010
11:58","6 hours, 27 minutes"
,,"Relocated a new ammonia tank from the Shuttle's payload bay to a temporary stowage location and disconnected the fluid lines to the old ammonia tank on the S1 truss. Retrieved a Japanese seed experiment from the exterior of the Kibo laboratory for return to earth and replaced a failed gyroscope on the S0 truss. Performed get-ahead tasks including the opening of a window flap on the zenith CBM of Harmony, and removed launch restraint bolts from a Flex Hose Rotary Coupler (FHRC) on the P1 truss.",,,
331,"STS-131
EVA 2","  Richard Mastracchio
  Clayton Anderson","April 11, 2010
05:30","April 11, 2010
12:56","7 hours, 26 minutes"
,,"The old ammonia tank was removed from the S1 truss and was replaced with the new tank. The electrical connections to the tank were made, but the fluid lines were deferred to the mission's third EVA due to time constraints since the installation was prolonged by a problem with the bolts that hold the tank to the truss. The old tank was relocated to a temporary stowage location on the station and a foot restraint was relocated in preparation for a future shuttle mission's spacewalk.",,,
332,"STS-131
EVA 3","  Richard Mastracchio
  Clayton Anderson","April 13, 2010
06:14","April 13, 2010
12:36","6 hours, 24 minutes"
,,"The fluid lines were connected to the new ammonia tank and the old tank was moved to the shuttle's payload bay for return to Earth. Micro-meteoroid debris shields from theQuest airlock which were no longer necessary were brought inside the airlock for return to Earth inside the Leonardo MPLM. The Z1 truss was prepared for the installation of a spare antenna on the next shuttle mission, and a foot restraint was relocated in preparation for a future spacewalk. The retrieval of an external carrier plate on Columbus was deferred to another shuttle mission due to time constraints after problems were encountered with attaching the old ammonia tank to a carrier in the payload bay, and several other tasks were deferred to later EVAs due to the replanning from the problems with the mission's second EVA.",,,
333,"STS-132
EVA 1","  Garrett Reisman
  Stephen G. Bowen","May 17, 2010
11:54","May 17, 2010
19:19","7 hours, 25 minutes"
,,"Installed a spare space-to-ground Ku-band antenna on the Z1 truss; installed new tool platform on Dextre, and broke torque on bolts holding replacement batteries to the ICC-VLD cargo carrier.",,,
334,"STS-132
EVA 2","  Stephen G. Bowen
  Michael T. Good","May 19, 2010
10:38","May 19, 2010
17:47","7 hours, 9 minutes"
,,Repaired Atlantis' Orbiter Boom Sensor System (OBSS); P6 battery replacement (4 of 6 units); and removed gimbal locks from the Ku-band antenna installed on the first EVA of the mission.,,,
335,"STS-132
EVA 3","  Michael T. Good
  Garrett Reisman","May 21, 2010
10:27","May 21, 2010
17:13","6 hours, 46 minutes"
,,"P6 battery replacement (final 2 of 6 units); installed ammonia ""jumpers"" at the P4/P5 interface; retrieved a spare PDGF from Atlantis' payload bay and stowed it inside the Questairlock. The spacewalkers also replenished supplies of EVA tools in toolboxes on the exterior of the station.",,,
336,"Expedition 24
EVA 1","  Fyodor Yurchikhin
  Mikhail Korniyenko","July 27, 2010
04:11","July 27, 2010
10:53","6 hours, 42 minutes"
,,Prepared Rassvet module to allow future Russian vehicles to dock using Kurs automated rendezvous system capability. Routed and mated command and data handling cables on Zvezda and Zarya modules.[165],,,
337,"Expedition 24
EVA 2","  Douglas H. Wheelock
  Tracy Caldwell Dyson","August 7, 2010
11:19","August 7, 2010
19:22","8 hours, 3 minutes"
,,"Attempted to replace failed ammonia pump module. The spacewalkers did not complete all of the planned tasks due to a quick disconnect that got stuck and would not release. The pair had to complete a ""bake-out"" in order to ensure there was no ammonia on their suits before re-entering the Space Station.[5]",,,
338,"Expedition 24
EVA 3","  Douglas H. Wheelock
  Tracy Caldwell Dyson","August 11, 2010
12:27","August 11, 2010
19:53","7 hours, 26 minutes"
,,Completed removal of failed pump module from the S1 truss and began installation preparations on the replacement pump.[166],,,
339,"Expedition 24
EVA 4","  Douglas H. Wheelock
  Tracy Caldwell Dyson","August 16, 2010
10:20","August 16, 2010
17:40","7 hours, 20 minutes"
,,Installed new pump module on the S1 truss.[167],,,
340,"Expedition 25
EVA 1","  Fyodor Yurchikhin
  Oleg Skripochka","November 15, 2010
14:55","November 15, 2010
21:22","6 hours, 27 minutes"
,,Installed: portable multipurpose workstation in Zvezda Plane IV; struts between Poisk and Zvezda and Zarya modules; hand-rail on Pirs docking module; SKK #1-M2 cassette on Poisk module. Removed: Plasma Pulse Injector Science hardware and Expose-R scientific experiment from portable multipurpose workstation in Zvezda Plane II; Kontur science hardware (ROKVISS); TV camera from Rassvet module. Performed Test experiment to check for microorganisms or contamination underneath insulation on the Russian ISS segment.[168] Cosmonauts failed to relocate TV camera due to interference from insulation at installation location.[169][170],,,
341,"Expedition 26
EVA 1","  Dmitri Kondratyev
  Oleg Skripochka","January 21, 2011
14:29","January 21, 2011
19:52","5 hours, 23 minutes"
,,"Installed an experimental communication antenna on Zvezda 's nadir side, removed and stowed a failed plasma pulse generator experiment apparatus and a material exposure experiment from Zvezda, and installed a docking TV camera on the Rassvet module.[171][172]",,,
342,"Expedition 26
EVA 2","  Dmitri Kondratyev
  Oleg Skripochka","February 16, 2011
13:30","February 16, 2011
18:21","4 hours, 51 minutes"
,,"Installed two experiments for Earth seismic and lightning observations on the Zvezda module, removed two material exposure experiment panels from the exterior of the Zaryamodule, and jettisoned a foot restraint overboard.[173][174]",,,
343,"STS-133
EVA 1","  B. Alvin Drew
  Stephen Bowen","February 28, 2011
15:46","February 28, 2011
22:20","6 hours, 34 minutes"
,,"Drew and Bowen installed a power extension cable between the Unity and Tranquility nodes to provide a contingency power source should it be required. The spacewalkers then moved the failed ammonia pump module that was replaced in August from its temporary location to the External Stowage Platform 2 adjacent to the Quest airlock. Drew and Bowen then installed a wedge under a camera on the S3 truss to provide clearance from the newly installed ELC-4. They next replaced a guide for the rail cart system used for moving the station robotic arm along the truss. The guides had been removed when astronauts were performing work on the station's starboard Solar Alpha Rotary Joint (SARJ), which rotates the solar arrays to track the sun. The final task was to ""fill"" a special bottle with the vacuum of space for a Japanese education payload. The bottle will be part of a public museum exhibit.",,,
344,"STS-133
EVA 2","  B. Alvin Drew
  Stephen Bowen","March 2, 2011
15:42","March 2, 2011
21:56","6 hours, 14 minutes"
,,"Drew removed thermal insulation from a platform, while Bowen swapped out an attachment bracket on the Columbus module. Bowen then installed a camera assembly on the Dextre robot and removed insulation from Dextre's electronics platform. Drew installed a light on a cargo cart and repaired some dislodged thermal insulation from a valve on the truss.",,,
345,"STS-134
EVA 1","  Andrew J. Feustel
  Gregory Chamitoff","May 20, 2011
07:10","May 20, 2011
13:29","6 hours, 19 minutes"
,,Retrieved two MISSE 7 experiments. Installed new package of MISSE 8 experiments on ELC-2. Installed jumpers between segments on left-side truss for ammonia refills; vented nitrogen from ammonia servicer; began installation of external wireless communication antenna on Destiny laboratory to provide wireless communication to ELCs on truss. Installation postponed due to bad CO2 sensor in Chamitoff's space suit.,,,
346,"STS-134
EVA 2","  Andrew J. Feustel
  Michael Fincke","May 22, 2011
06:05","May 22, 2011
14:12","8 hours, 7 minutes"
,,Refilled Port 6 (P5) radiators with ammonia. Finished venting early ammonia system. Lubricated port SARJ and parts of ISS' Dextre robot. Installed grapple bars on port radiators.,,,
347,"STS-134
EVA 3","  Andrew J. Feustel
  Michael Fincke","May 25, 2011
05:43","May 25, 2011
12:37","6 hours, 54 minutes"
,,Installed grapple fixture on Zarya module to support robotic operations. Installed additional cables to provide backup power to the Russian portion of the space station. Finished installation of wireless video system begun in EVA 1.,,,
348,"STS-134
EVA 4","  Michael Fincke
  Gregory Chamitoff","May 27, 2011
04:15","May 27, 2011
11:39",7 hours 24 minutes
,,Stowed OBSS on right-side truss. Retrieved grapple from left-side truss to replace grapple currently on boom. Released restraints from one of Dextre's spare arms. Replaced thermal insulation on spare gas tank for the Quest airlock. ISS assembly completed.,,,
349,"Expedition 28
EVA 1","  Ronald J. Garan, Jr.
  Michael E. Fossum","July 12, 2011
13:22","July 12, 2011
19:53",6 hours 31 minutes
,,"Retrieved a failed ammonia pump module from the External Stowage Platform 2 and secured it in the Shuttle payload bay for returning to Earth. The Robotics Refueling Mission (RRM) payload was removed from the Shuttle payload bay and installed on a platform on the ISS. The two also retrieved a material science experiment, freed a stuck wire at a power grapple fixture, installed thermal covers at PMA-3 and reconfigured external equipment.",,,
350,"Expedition 28
EVA 2","  Sergei Volkov
  Aleksandr Samokutyayev","August 3, 2011
14:50","August 3, 2011
21:13",6 hours 23 minutes
,,"Deployed the ARISSat-1 amateur radio satellite, installed experiment packages on the exterior of the Russian segment, removed unneeded antennas from the Poisk module, and made photograph documentation. Original task of relocating a Strela crane deferred.[175][176]",,,
351,"Expedition 30
EVA 1","  Oleg Kononenko
  Anton Shkaplerov","February 16, 2012
14:31","February 16, 2012
20:46","6 hours, 15 minutes"
,,Relocated the Strela-1 crane from the Pirs module to the Poisk module. Also installed the Vinoslivost Materials Sample Experiment and collected a test sample from underneath the insulation on the Zvezda service module to search for any signs of living organisms.[177][178],,,
352,"Expedition 32
EVA 1","  Gennady Padalka
  Yuri Malenchenko","August 20, 2012
15:37","August 20, 2012
21:28","5 hours, 51 minutes"
,,"Relocated the Strela-2 crane from the Pirs module to the Zarya module. Also deployed the Sfera-53 passive air density calibration satellite, installed five micro-meteoroid debris shields on the ""Zvezda"" module and retrieved external experiments.[179][180]",,,
353,"Expedition 32
EVA 2","  Sunita Williams
  Akihiko Hoshide","August 30, 2012
12:16","August 30, 2012
20:33","8 hours, 17 minutes"
,,"Connected two power cables between the US segment and the Russian segment on the ISS; removed and replaced Main Bus Switching Unit (MBSU) 1. The crew have difficulty in removing connecting bolts of the old MBSU, and were unable to tighten up the bolts for the new unit. The new MBSU was tied down for future trouble-shooting, with all other tasks deferred to a future EVA. Third-longest EVA in history.[181]",,,
354,"Expedition 32
EVA 3","  Sunita Williams
  Akihiko Hoshide","September 5, 2012
11:06","September 5, 2012
17:34","6 hours, 28 minutes"
,,"Installed the new MBSU unit, working around difficulty with one of the bolts; replaced one of the cameras mounted on the CanadArm. During this spacewalk, Sunita Williams broke Peggy Whitson's record for most total time spacewalking by a woman.",,,
355,"Expedition 33
EVA 1","  Sunita Williams
  Akihiko Hoshide","November 1, 2012
12:29","November 1, 2012
19:07","6 hours, 38 minutes"
,,"Reconfigured and isolated a leak in the ammonia cooling system of power channel 2B on the P6 truss by-passing a leaking cooling loop and re-connecting jumpers to an unused loop of the Early External Thermal Control System (EETCS), and by re-deploying the trailing Thermal Control Radiator of the system.",,,
356,"Expedition 35
EVA 1","  Pavel Vinogradov
  Roman Romanenko","April 19, 2013
14:03","April 19, 2013
20:41","6 hours, 38 minutes"
,,Installed the Obstanovka plasma waves and ionosphere experiment to the exterior of the Zvezda service module. Also replaced a faulty retro-reflector device used as navigational aids for the Automatic Transfer Vehicle and retrieved the Biorisk microbe exposure experiment. An attempt to retrieve the Vinoslivost materials sample experiment failed when it was accidentally dropped while being taken back to the Pirs module airlock.[182][183],,,
357,"Expedition 35
EVA 2","  Christopher Cassidy
  Thomas Marshburn","May 11, 2013
12:44","May 11, 2013
18:14","5 hours, 30 minutes"
,,Replaced the 2B Pump Flow Control Subassembly (PFCS) on the Port 6 truss in attempting to locate the source of an ammonia coolant leak on the Port 6 truss Photo Voltaic Thermal Control System (PVTCS).[184][185],,,
358,"Expedition 36
EVA 1","  Fyodor Yurchikhin
  Aleksandr Misurkin","June 24, 2013
13:32","June 24, 2013
20:06","6 hours, 34 minutes"
,,"Replaced a fluid flow regulator on the Zarya module, testing of the Kurs docking system on the station ahead of the arrival of a new Russian module, installing the “Indicator” experiment, installing gap spanners on to the outside of the station and photographing the multilayer insulation (MLI) protecting the Russian segment from micrometeoroids and taking samples from the exterior surface of the pressure hull underneath the MLI to identify signs of pressure hull material microscopic deterioration.[186][187]",,,
359,"Expedition 36
EVA 2","  Christopher Cassidy
  Luca Parmitano","July 9, 2013
12:02","July 9, 2013
18:09","6 hours, 7 minutes"
,,"Replaced a failed Space-to-Ground Transmitter Receiver Controller and the Mobile Base Camera Light Pan-Tilt Assembly, retrieved the MISSE-8 and ORMatE-III experiments, photographed the AMS-02, moved two Radiator Grapple Bars to either sides of the truss, routed power cables to support the addition of the new Russian MLM and installed a multi-layer insulation cover to protect the docking interface of PMA-2.[188][189]",,,
360,"Expedition 36
EVA 3","  Christopher Cassidy
  Luca Parmitano","July 16, 2013
11:57","July 16, 2013
13:29","1 hour, 32 minutes"
,,"Installed a Y-bypass jumper on power lines on the Z1 truss, routing 1553 data cables for a grapple fixture and Ethernet cables for a future Russian station module. The spacewalk was then cut short after Parmitano reported excess water leaking inside his helmet.[190][191][192]",,,
361,"Expedition 36
EVA 4","  Fyodor Yurchikhin
  Aleksandr Misurkin","August 16, 2013
14:36","August 16, 2013
22:05","7 hours, 29 minutes"
,,Routed power and ethernet cables for later attachment to the future Nauka module. Also installed connectors between modules and a material science experiment.[193][194],,,
362,"Expedition 36
EVA 5","  Fyodor Yurchikhin
  Aleksandr Misurkin","August 22, 2013
11:34","August 22, 2013
17:32","5 hours, 58 minutes"
,,"Removed a laser communication and installed an EVA work station and camera pointing platform outside the Zvezda service module, inspection and tightening of various antenna covers on Zvezda, and installed new spacewalk aids.[195][196]",,,
363,"Expedition 37
EVA 1","  Oleg Kotov
  Sergei Ryazanski","November 9, 2013
14:34","November 9, 2013
20:24","5 hours, 50 minutes"
,,"Took the Olympic torch for the 2014 Winter Olympic Games to the outside of ISS. They also continued work on an extravehicular activity workstation and biaxial pointing platform by removing launch brackets and bolts, as well as retrieving an experimental package. The planned installation of a foot restraint on the mounting seat of the workstation was deferred to a future spacewalk after the spacewalkers noticed some issues with its alignment.[197][198]",,,
364,"Expedition 38
EVA 1","  Richard Mastracchio
  Michael S. Hopkins","December 21, 2013
12:01","December 21, 2013
17:29","5 hours, 28 minutes"
,,Removed ammonia fluid lines from Active Thermal Control System pump module; removed pump module from starboard truss and stowed it on Payload Orbital Replacement Unit Accommodation.[199],,,
365,"Expedition 38
EVA 2","  Richard Mastracchio
  Michael S. Hopkins","December 24, 2013
11:53","December 24, 2013
19:23","7 hours, 30 minutes"
,,"Retrieved spare ammonia pump module, installed it on starboard truss, and connected it to Loop A of Active Thermal Control System.[200][201]",,,
366,"Expedition 38
EVA 3","  Oleg Kotov
  Sergei Ryazanski","December 27, 2013
13:00","December 27, 2013
21:07","8 hours, 7 minutes"
,,"Attempted installation of 2 HD cameras for commercial Earth observation on the outside of the Zvezda module, cancelled after one of the cameras failed to provide data to the ground during testing. Also installed and jettisoned experimental equipment outside the Russian segment. Longest Russian EVA in history.[202][203]",,,
367,"Expedition 38
EVA 4","  Oleg Kotov
  Sergei Ryazanski","January 27, 2014
14:00","January 27, 2014
20:08",6 hours 8 minutes
,,"Installed High Resolution Camera (HRC) on SM Plane IV; installed Medium Resolution Camera (MRC) on SM Plane IV; photographed electrical connectors on ??11 and ??19 connector patch panels of SM; removed Worksite Interfaces (WIF) adaptor from SSRMS LEE B;
retrieved ??? #2-?? cassette container from DC-1.[204]",,,
