marshall space flight center :368
and aeronautics 1972 march :15
all spacecraft systems were :15
air force chief of :15
aeronautical and astronautical events :15
aecnasa space nuclear propulsion :15
academy of sciences announced :15
a better understanding of :15
5 astronautics and aeronautics :15
28 astronautics and aeronautics :15
21 astronautics and aeronautics :15
16 astronautics and aeronautics :15
150 sounding rocket was :15
∞ us and ussr :14
∞ rep george p :14
∞ nasa manned spacecraft :14
∞ nasa associate administrator :14
∞ marshall space flight :14
would be returned to :14
with the space shuttle :14
with atlasagena d booster :14
were telemetered to ground :14
were said to be :14
welsh executive secretary of :14
was launched from wallops :14
was expected to provide :14
vice president and general :14
vance d brand and :14
ussr from plesetsk into :14
use of outer space :14
u s s r :14
turned on and were :14
total value of contract :14
to set up a :14
to obtain information on :14
to carry out the :14
to be placed in :14
to be completed by :14
thoragena d booster from :14
third in series of :14
the x24b lifting body :14
the united states to :14
the tass news agency :14
the structure of the :14
the soviet union in :14
the saturn ib and :14
the origin of the :14
the moon by 1970 :14
the manned spacecraft center :14
the lunar surface and :14
the launch of the :14
the first spacecraft to :14
the first man to :14
that one of the :14
testified before house committee :14
successfully launched by ussr :14
subcommittee of the house :14
special assistant to nasa :14
space flight center director :14
sound arrivals on ground :14
senate armed services committee :14
secretary of the interior :14
satisfactorily and good data :14
satellites space probes and :14
satellites from vandenberg afb :14
satellite would be launched :14
satellite from plesetsk into :14
rockets and instrumentation performed :14
rocket and instrumentation per :14
rocket and instru mentation :14
robert j collier trophy :14
proj o f nasa :14
president and general manager :14
pilot thomas c mcmurtry :14
perigee 893min period and :14
p carr dr edward :14
on the moon was :14
on space research cospar :14
on science and astro :14
on advanced research and :14
offices and hud appropriations :14
office of aerospace research :14
off the coast of :14
of us and soviet :14
of the moonâ€™s surface :14
of the communications satellite :14
of the armed forces :14
of space exploration and :14
of one of the :14
of nasa marshall space :14
of life on earth :14
of ames research center :14
o f 1 9 :14
no 3 was flown :14
no 3 flown by :14
niketomahawk sounding rocket was :14
nikeapache sounding rocket from :14
newtons per sq m :14
neil a armstrong edwin :14
nautical and space sciences :14
nasa test pilot fitzhugh :14
nasa niketomahawk sounding rocket :14
nasa announced that the :14
mstislav v keldysh president :14
mission objective was to :14
million in fy 1972 :14
million for space shuttle :14
manned space craft center :14
maj jerauld r gentry :14
made its first flight :14
m2f3 lifting body piloted :14
lunokhod 1 lunar rover :14
lg samuel c phillips :14
launched unidentified satellite with :14
launched into orbit by :14
landing a man on :14
kennedy space center and :14
keldysh president of soviet :14
july astronautics and aeronautics :14
jr and michael collins :14
january astronautics and aeronautics :14
instrumentation performance was satisfactory :14
institute of space and :14
in the process of :14
in the pacific ocean :14
in the near future :14
in the fields of :14
in the face of :14
in the course of :14
in low earth orbit :14
in his new position :14
in an effort to :14
he would be succeeded :14
had been placed in :14
had been made to :14
gordon cooper and charles :14
g gibson and william :14
from recovery ship uss :14
from baykonur cosmodrome into :14
for the apollosoyuz test :14
for saturn v launch :14
for possible use in :14
for first time since :14
for development of the :14
for development of a :14
fletcher nasa administrator said :14
fitzhugh l fulton jr :14
faa administrator najeeb e :14
exploration of the solar :14
events o f 1 :14
elliptical transfer orbit with :14
edward g gibson and :14
editorial commented on apollo :14
eberhard f m rees :14
eastern test range on :14
during world war 11 :14
dr gerard p kuiper :14
dr edward g gibson :14
dr christopher c kraft :14
director of office of :14
dept of the interior :14
council for science and :14
cosmodrome into orbit with :14
control data at mach :14
charles a berry nasa :14
centre national dâ€™etudes spatiales :14
center was responsible for :14
by manned spacecraft center :14
between us and ussr :14
be used for the :14
at the rate of :14
at the air force :14
at speeds up to :14
at a rate of :14
at a press conference :14
astronauts walter m schirra :14
association for the advancement :14
associate administrator for aeronautics :14
associate administrator dr robert :14
assistant administrator for public :14
as well as to :14
as acting director of :14
armstrong edwin e aldrin :14
apollosoyuz test project astp :14
apollo 11 lunar landing :14
announced it had issued :14
anglofrench concorde supersonic transport :14
and william a anders :14
and the air force :14
and instrumentation per formed :14
and hud appropriations bill :14
and director of the :14
and aeronautics 1976 october :14
and aeronautics 1975 may :14
and aeronautics 1973 july :14
and aeronautics 1971 october :14
and aeronautics 19 0 :14
ames research center announced :14
ames research center and :14
aldrin jr and michael :14
aircraft at 45000ft altitude :14
air force space and :14
air force base calif :14
after air launch from :14
aero nautical and space :14
a satellites space probes :14
a result of the :14
a new type of :14
a history of project :14
a armstrong edwin e :14
9 astronautics and aeronautics :14
2 astronautics and aeronautics :14
150 sounding rocket from :14
15 astronauts david r :14
000 mi from the :14
∞ white house announced :13
∞ washington evening star :13
∞ dr wernher von :13
∞ dr james c :13
∞ arcas sounding rocket :13
∞ apollo 11 astronauts :13
x15 no 3 was :13
would be made to :13
would be in the :13
would be held in :13
would be carried out :13
would be based on :13
with unidentified satellite payload :13
where it would be :13
western test range at :13
weapons of mass destruction :13
was thought to be :13
was submitted to senate :13
was named director of :13
