total weight :2627
skylab mission :32
sivb stage :32
shuttle payload :32
satellite payload :32
satellite consortium :32
safe return :32
rocket vehicle :32
remotely piloted :32
release oip :32
reentered sept :32
provide information :32
president dr :32
orbiter columbia :32
objective undisclosed :32
nuclear tests :32
november 12 :32
northern hemisphere :32
maximum altitude :32
mars mission :32
mariner v :32
march 18 :32
march 13 :32
march 12 :32
m beggs :32
landing tests :32
kourou french :32
june 23 :32
john c :32
ion engine :32
houston tex :32
goldstone tracking :32
gen bernard :32
future missions :32
free flight :32
federal funds :32
edt july :32
echo ii :32
e halaby :32
dust particles :32
dr raymond :32
domestic service :32
development agency :32
defense daily :32
december 18 :32
december 14 :32
dec 13 :32
crew training :32
cosmic dust :32
comet kohoutek :32
center ksc :32
carrying univ :32
carrying gsfc :32
c phillips :32
bell aerosystems :32
august 19 :32
atmospheric pressure :32
april 74 :32
april 29 :32
april 21 :32
announced signing :32
announced completion :32
air transportation :32
agena d :32
afsc commander :32
aeronomy experiment :32
advanced development :32
acting associate :32
50 000 :32
28 astronautics :32
26 astronautics :32
15 july :32
yr ago :31
wk reported :31
wind tunnels :31
wide variety :31
venusian atmosphere :31
ussr objective :31
usaf spacecraft :31
supersonic speeds :31
successfully conducted :31
stol aircraft :31
space scientists :31
space rescue :31
space experiments :31
space boosters :31
soviet officials :31
secondary objective :31
scientific payloads :31
scientific laboratory :31
science magazine :31
satisfactorily gsfc :31
rocket development :31
robert m :31
rep olin :31
release 75 :31
reentered nov :31
reentered march :31
reentered jan :31
reentered aug :31
radio contact :31
president carter :31
polar regions :31
pilot william :31
permanently manned :31
organization esro :31
oklahoma city :31
obtain stability :31
nuclear explosion :31
noise abatement :31
news release :31
name inter :31
naked eye :31
nacional de :31
mission objective :31
million pounds :31
living organisms :31
launched aerobee :31
launch support :31
landing aircraft :31
kraft jr :31
kitt peak :31
kansas city :31
issued statement :31
higher orbit :31
heart attack :31
global weather :31
ford aerospace :31
flight network :31
feb 28 :31
favorably reported :31
fairchild industries :31
events op :31
energy astronomy :31
edward g :31
eccentric orbit :31
east germany :31
dryden nasa :31
dr albert :31
dfrc release :31
design study :31
defense initiative :31
defense department :31
chicago tribune :31
bendix corp :31
august 12 :31
aug 19 :31
arms limitation :31
april 28 :31
april 27 :31
appropriations subcommittee :31
act 1966 :31
23 july :31
18 astronautics :31
14 million :31
000 lbs :31
xray astronomy :30
volcanic activity :30
viking project :30
transportation john :30
transmit data :30
thomas otoole :30
technical director :30
tactical fighter :30
sq m :30
soil samples :30
simulated space :30
ship uss :30
september 30 :30
september 18 :30
sept 28 :30
senate confirmed :30
scientific earth :30
satellite carrying :30
sands nm :30
rocket launching :30
richard m :30
radio emissions :30
project management :30
possibly similar :30
planet jupiter :30
onboard computer :30
olin e :30
october 29 :30
october 28 :30
oct 27 :30
nuclear systems :30
naval air :30
nasa astronauts :30
multispectral scanner :30
mission launched :30
medical center :30
march 29 :30
march 23 :30
manned mars :30
laser ranging :30
june 76 :30
january 31 :30
jan 26 :30
introduced s :30
international association :30
george c :30
fy 86 :30
flight directors :30
flight data :30
flight controllers :30
final decision :30
feb 22 :30
engineering support :30
energy sources :30
electric propulsion :30
e teague :30
dr s :30
donald f :30
director william :30
december 13 :30
dec 15 :30
cosmonaut training :30
construction co :30
conference committee :30
col john :30
broadcasting co :30
british interplanetary :30
became effective :30
ballistic reentry :30
aug 74 :30
arc astrogram :30
april 13 :30
appendix d :30
appendix c :30
appendix b :30
american association :30
am local :30
allen radiation :30
acting administrator :30
act 1965 :30
74° inclination :30
19 grenades :30
washington times :29
vstol aircraft :29
vertical takeoff :29
vacuum chamber :29
v keldysh :29
usn ret :29
tv viewers :29
tech wk :29
synchronous meteorological :29
surface temperature :29
sunday star :29
station salyut :29
spacelab missions :29
spacecraft designed :29
space processing :29
space efforts :29
skylab missions :29
sept 18 :29
sept 15 :29
science technology :29
saturn vs :29
satellite project :29
rockets carrying :29
reconnaissance satellites :29
quality control :29
provide tracking :29
project office :29
primary purpose :29
planetary programs :29
p kerwin :29
orbital test :29
october 17 :29
oct 19 :29
oct 15 :29
objective continue :29
north carolina :29
news report :29
nasa mission :29
nasa held :29
nasa exceptional :29
nasa distinguished :29
n c3 :29
multiple docking :29
mission director :29
minutes incli :29
military photoreconnaissance :29
military aircraft :29
michoud operations :29
mattingly ii :29
march 25 :29
manned landing :29
lunar landings :29
kurt h :29
june 20 :29
jpl director :29
joseph f :29
joint space :29
iv launched :29
interplanetary medium :29
international news :29
international geophysical :29
infrared telescope :29
hawker siddeley :29
harold brown :29
global positioning :29
glenn t :29
geostationary operational :29
fy 1977 :29
fourstage scout :29
flight programs :29
flight crews :29
et al :29
engineering inc :29
e evans :29
dr jerome :29
dr alan :29
domestic comsat :29
dec 12 :29
data received :29
data collected :29
crew operations :29
communications equipment :29
chemical corp :29
budget cuts :29
boosted areas :29
boost motor :29
board chairman :29
black holes :29
ban treaty :29
august 15 :29
astronauts charles :29
arguello calif :29
apollo manned :29
apollo 204 :29
announced successful :29
aircraft engine :29
aeronautique internationale :29
administrator webb :29
898min period :29
35 million :29
30 june :29
20 yrs :29
15 astronautics :29
14 days :29
weight 50kg :28
weapons systems :28
washington sunday :28
v launched :28
upi chic :28
underground nuclear :28
trw inc :28
top speed :28
times article :28
t seaborg :28
spin rate :28
solid propellant :28
smithsonian institutions :28
shuttle columbia :28
shuttle challenger :28
september 11 :28
sept 29 :28
scientific payload :28
science policy :28
science institute :28
satellite scheduled :28
reentered july :28
reentered feb :28
raymond l :28
press international :28
presidential science :28
president kennedys :28
post june :28
paul j :28
palestine tex :28
orbiter enterprise :28
orbital flights :28
operational weather :28
october 13 :28
ocean floor :28
observatory heao :28
oao ii :28
november 15 :28
nov 30 :28
nov 20 :28
nixon submitted :28
net income :28
nearearth space :28
nasa history :28
name international :28
mars orbit :28
march 14 :28
major step :28
lunar rocks :28
louis mo :28
latin america :28
late 1970s :28
ksc announced :28
june 1974 :28
july 74 :28
john j :28
january 30 :28
james j :28
james g :28
james beggs :28
jackass flats :28
introduced hr :28
international civil :28
instrumentation performance :28
industries association :28
inclination 65° :28
h debus :28
flight readiness :28
flight envelope :28
feb 16 :28
fbis moscow :28
existing knowledge :28
excellent data :28
east longitude :28
dr glenn :28
dr gerald :28
defense satellite :28
december 20 :28
dec 21 :28
date designation :28
data analysis :28
dale d :28
crew launched :28
contract modification :28
co announced :28
celestial objects :28
c schneider :28
bell telephone :28
aviationspace writers :28
aug 21 :28
appointed deputy :28
apollo flight :28
angeles times :28
anderson dn :28
aircraft design :28
aeronautical laboratory :28
aeronautic association :28
advanced ballistic :28
administrator najeeb :28
administrative operations :28
80 million :28
516° inclination :28
35 min :28
25 000 :28
24 astronautics :28
xray source :27
weather service :27
walter sullivan :27
voice vote :27
valery ryumin :27
union telegraph :27
transmitting data :27
times greater :27
testimony nasa :27
technology description :27
technological advances :27
teague dtex :27
synchronous transfer :27
swigert jr :27
succeed dr :27
spacecraft carrying :27
space policy :27
space conference :27
soviet satellite :27
solar ultraviolet :27
senior vice :27
scout vehicle :27
scientists believed :27
sands n :27
rocket propulsion :27
reuters b :27
resources experiment :27
reentered dec :27
radiation damage :27
project mission :27
probable military :27
planned orbit :27
planets atmosphere :27
planet mars :27
perigee 898min :27
outstanding contributions :27
orbital laboratory :27
october 24 :27
october 11 :27
oct 30 :27
oct 24 :27
nov 29 :27
nov 16 :27
nixon signed :27
nixon sent :27
neutron stars :27
near moscow :27
nasa management :27
nasa leg :27
nasa announcement :27
named director :27
najeeb e :27
naa newsletter :27
mstislav v :27
million nasa :27
mi sounding :27
meteor shower :27
member nations :27
mariner vii :27
march 30 :27
march 26 :27
machines corp :27
lunar rock :27
ltv aerospace :27
launched thoragena :27
landed safely :27
l swigert :27
joseph s :27
joint project :27
joint mission :27
joint effort :27
japan launched :27
january 29 :27
january 25 :27
january 22 :27
jan 75 :27
instrument package :27
inclination remarks :27
harvard college :27
gen james :27
five days :27
federation aeronautique :27
february 28 :27
february 14 :27
extended periods :27
environmental science :27
earths gravity :27
dry lake :27
dr noel :27
dr lee :27
dr frederick :27
design fabrication :27
defense dod :27
dec 1973 :27
dec 19 :27
data gathered :27
crystal growth :27
convair div :27
communications services :27
communications network :27
centaur stage :27
c mcmurtry :27
b—52 aircraft :27
building blocks :27
brant vc :27
boulder colo :27
august 26 :27
august 25 :27
atmospheric conditions :27
atlasagena b :27
atlas icbm :27
atlantic treaty :27
artificial gravity :27
arab republic :27
apr 76 :27
ap houston :27
anderson jr :27
alamos scientific :27
agena target :27
65° inclination :27
65 million :27
50 min :27
45000ft altitude :27
45 billion :27
20 min :27
17 astronautics :27
12 astronautics :27
wtr total :26
widely separated :26
vidicon camera :26
undisclosed description :26
television programs :26
study contract :26
special release :26
spatiales cnes :26
space launch :26
space craft :26
soviet scientist :26
soviet academician :26
south polar :26
solidfueled rocket :26
solar cycle :26
shuttle external :26
september 15 :26
september 13 :26
september 12 :26
sept 19 :26
scientists dr :26
rocket carrying :26
robert e :26
results indicated :26
received nasas :26
radio corp :26
president john :26
president hubert :26
practical applications :26
post sept :26
post dec :26
planetary missions :26
pictures taken :26
palmdale calif :26
ozone layer :26
